Gene.name,Genes,Gene_B73v3,X,X.1,X.2,X.3,X.4,X.5
AT5G53420,AT5G53420,TF,AT5G53420.3,CCT motif family protein,---,CCT motif family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: CCT motif family protein (TAIR:AT4G27900.2); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,---,---
AT5G53430,SET29,TF,AT5G53430.1,SET domain group 29,Homology Subgroup III; Orthology Group 2 - A putative histone methyltransferase (predicted to methylate H3K4) related to the Drosophila trithorax group proteins TRX and TRR and the yeast gene SET1. A plant line expressing an RNAi construct directed against  this gene has reduced agrobacterium-mediated tumor formation.,"SET domain group 29 (SDG29); FUNCTIONS IN: DNA binding, zinc ion binding; INVOLVED IN: DNA mediated transformation, regulation of transcription, DNA-dependent; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: SET domain (InterPro:IPR001214), Zinc finger, PHD-type, conserved site (InterPro:IPR019786), Zinc finger, PHD-type (InterPro:IPR001965), Post-SET domain (InterPro:IPR003616), Zinc finger, FYVE/PHD-type (InterPro:IPR011011), PWWP (InterPro:IPR000313), Zinc finger, PHD-finger (InterPro:IPR019787); BEST Arabidopsis thaliana protein match is: SET domain protein 16 (TAIR:AT4G27910.1); Has 7010 Blast hits to 6787 proteins in 464 species: Archae - 2; Bacteria - 389; Metazoa - 3222; Fungi - 817; Plants - 1208; Viruses - 0; Other Eukaryotes - 1372 (source: NCBI BLink).",SET29,---
AT5G54630,AT5G54630,TF,AT5G54630.1,zinc finger protein-related,---,"zinc finger protein-related; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087); BEST Arabidopsis thaliana protein match is: zinc finger (C2H2 type) family protein (TAIR:AT4G27240.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",---,---
AT5G54680,ILR3,TF,AT5G54680.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,---,"iaa-leucine resistant3 (ILR3); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT1G51070.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",ILR3,iaa-leucine resistant3
AT5G56270,WRKY2,TF,AT5G56270.1,WRKY DNA-binding protein 2,WRKY transcription factor 2,WRKY DNA-binding protein 2 (WRKY2); CONTAINS InterPro DOMAIN/s: DNA-binding WRKY (InterPro:IPR003657); BEST Arabidopsis thaliana protein match is: WRKY DNA-binding protein 34 (TAIR:AT4G26440.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,WRKY2,WRKY DNA-binding protein 2
AT5G56780,ET2,TF,AT5G56780.1,effector of transcription2,---,effector of transcription2 (ET2); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G26170.1); Has 86 Blast hits to 52 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 86; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,ET2,effector of transcription2
AT5G56840,AT5G56840,TF,AT5G56840.1,myb-like transcription factor family protein,---,"myb-like transcription factor family protein; CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), Zinc finger, CCHC-type (InterPro:IPR001878), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Myb-like DNA-binding domain, SHAQKYF class (InterPro:IPR006447); BEST Arabidopsis thaliana protein match is: myb-like transcription factor family protein (TAIR:AT5G47390.1); Has 1025 Blast hits to 1022 proteins in 100 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 894; Viruses - 0; Other Eukaryotes - 129 (source: NCBI BLink).",---,---
AT5G56860,GNC,TF,AT5G56860.1,GATA type zinc finger transcription factor family protein,Encodes a member of the GATA factor family of zinc finger transcription factors.,"GATA, nitrate-inducible, carbon metabolism-involved (GNC); CONTAINS InterPro DOMAIN/s: Zinc finger, NHR/GATA-type (InterPro:IPR013088), Zinc finger, GATA-type (InterPro:IPR000679); BEST Arabidopsis thaliana protein match is: cytokinin-responsive gata factor 1 (TAIR:AT4G26150.1); Has 1952 Blast hits to 1890 proteins in 209 species: Archae - 0; Bacteria - 2; Metazoa - 234; Fungi - 682; Plants - 707; Viruses - 0; Other Eukaryotes - 327 (source: NCBI BLink).",GNC,"GATA, nitrate-inducible, carbon metabolism-involved"
AT5G56900,AT5G56900,TF,AT5G56900.2,CwfJ-like family protein / zinc finger (CCCH-type) family protein,---,"CwfJ-like family protein / zinc finger (CCCH-type) family protein; FUNCTIONS IN: zinc ion binding, catalytic activity, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, CCCH-type (InterPro:IPR000571), Histidine triad-like motif (InterPro:IPR011146), Cwf19-like, C-terminal domain-1 (InterPro:IPR006768), Cwf19-like protein, C-terminal domain-2 (InterPro:IPR006767); BEST Arabidopsis thaliana protein match is: CwfJ-like family protein (TAIR:AT1G56290.1); Has 929 Blast hits to 786 proteins in 187 species: Archae - 0; Bacteria - 11; Metazoa - 341; Fungi - 367; Plants - 103; Viruses - 0; Other Eukaryotes - 107 (source: NCBI BLink).",---,---
AT5G56960,AT5G56960,TF,AT5G56960.1,basic helix-loop-helix (bHLH) DNA-binding family protein,---,"basic helix-loop-helix (bHLH) DNA-binding family protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to chitin, regulation of transcription; LOCATED IN: nucleus; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G57150.4); Has 2180 Blast hits to 2174 proteins in 183 species: Archae - 0; Bacteria - 0; Metazoa - 197; Fungi - 44; Plants - 1927; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).",---,---
AT5G57150,AT5G57150,TF,AT5G57150.4,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,---,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT4G29930.3).",---,---
AT5G57180,CIA2,TF,AT5G57180.3,chloroplast import apparatus 2,Transcription regulator responsible for  specific upregulation of the translocon genes  atToc33 and atToc75 in leaves. Involved in protein import into chloroplast.,chloroplast import apparatus 2 (CIA2); BEST Arabidopsis thaliana protein match is: CCT motif family protein (TAIR:AT4G25990.1); Has 102 Blast hits to 81 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 5; Fungi - 7; Plants - 54; Viruses - 0; Other Eukaryotes - 36 (source: NCBI BLink).,CIA2,chloroplast import apparatus 2
AT5G57390,PLT5,TF,AT5G57390.1,AINTEGUMENTA-like 5,Encodes a member of the AP2 family of transcriptional regulators.May be involved in germination and seedling growth. Mutants are resistant to ABA analogs and are resistant to high nitrogen concentrations.essential for the developmental  transition between the embryonic and vegetative  phases in plants.Overexpression results in the formation of somatic embryos on cotyledons.,"AINTEGUMENTA-like 5 (AIL5); CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT3G20840.1); Has 9099 Blast hits to 5771 proteins in 325 species: Archae - 0; Bacteria - 38; Metazoa - 238; Fungi - 101; Plants - 7378; Viruses - 6; Other Eukaryotes - 1338 (source: NCBI BLink).",PLT5,PLETHORA 5
AT5G57660,COL5,TF,AT5G57660.1,CONSTANS-like 5,---,"CONSTANS-like 5 (COL5); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: CCT domain (InterPro:IPR010402), Zinc finger, B-box (InterPro:IPR000315); BEST Arabidopsis thaliana protein match is: CONSTANS-like 4 (TAIR:AT5G24930.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",COL5,CONSTANS-like 5
AT5G58340,AT5G58340,TF,AT5G58340.2,myb-like HTH transcriptional regulator family protein,---,"myb-like HTH transcriptional regulator family protein; FUNCTIONS IN: DNA binding; INVOLVED IN: regulation of transcription; EXPRESSED IN: guard cell; CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: TRF-like 5 (TAIR:AT1G15720.1).",---,---
AT5G58610,AT5G58610,TF,AT5G58610.1,"PHD finger transcription factor, putative",---,"PHD finger transcription factor, putative; FUNCTIONS IN: RNA binding, DNA binding, zinc ion binding; INVOLVED IN: N-terminal protein myristoylation, regulation of transcription, DNA-dependent, response to chitin; LOCATED IN: endomembrane system, nucleus; EXPRESSED IN: 7 plant structures; EXPRESSED DURING: 4 anthesis, F mature embryo stage, petal differentiation and expansion stage, E expanded cotyledon stage, D bilateral stage; CONTAINS InterPro DOMAIN/s: Tudor-like, plant (InterPro:IPR014002), Agenet (InterPro:IPR008395), Zinc finger, PHD-type (InterPro:IPR001965), Zinc finger, FYVE/PHD-type (InterPro:IPR011011), Acyl-CoA N-acyltransferase (InterPro:IPR016181), Zinc finger, PHD-finger (InterPro:IPR019787); BEST Arabidopsis thaliana protein match is: Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein (TAIR:AT1G05380.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",---,---
AT5G58620,AT5G58620,TF,AT5G58620.1,zinc finger (CCCH-type) family protein,---,"zinc finger (CCCH-type) family protein; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, CCCH-type (InterPro:IPR000571), Ankyrin repeat-containing domain (InterPro:IPR020683), Ankyrin repeat (InterPro:IPR002110); BEST Arabidopsis thaliana protein match is: zinc finger (CCCH-type) family protein (TAIR:AT2G40140.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",---,---
AT5G58900,AT5G58900,TF,AT5G58900.1,Homeodomain-like transcriptional regulator,---,"Homeodomain-like transcriptional regulator; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), SANT, eukarya (InterPro:IPR017884), Myb-like DNA-binding domain, SHAQKYF class (InterPro:IPR006447), SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), Homeodomain-related (InterPro:IPR012287), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930); BEST Arabidopsis thaliana protein match is: Duplicated homeodomain-like superfamily protein (TAIR:AT2G38090.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",---,---
AT5G59340,WOX2,TF,AT5G59340.1,WUSCHEL related homeobox 2,"Encodes a WUSCHEL-related homeobox gene family member with 65 amino acids in its homeodomain. Proteins in this family contain a sequence of eight residues (TLPLFPMH) downstream of the homeodomain called the WUS box. WOX2 has a putative Zinc finger domain downstream of the homeodomain. Transcripts are expressed in the egg cell, the zygote and the apical cell lineage and are reduced in met3-1 early embryos.  This gene is necessary for cell divisions that form the apical embryo domain.","WUSCHEL related homeobox 2 (WOX2); CONTAINS InterPro DOMAIN/s: Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057); BEST Arabidopsis thaliana protein match is: WUSCHEL related homeobox 1 (TAIR:AT3G18010.1); Has 921 Blast hits to 921 proteins in 61 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 921; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",WOX2,WUSCHEL related homeobox 2
AT5G59450,AT5G59450,TF,AT5G59450.1,GRAS family transcription factor,---,GRAS family transcription factor; CONTAINS InterPro DOMAIN/s: Transcription factor GRAS (InterPro:IPR005202); BEST Arabidopsis thaliana protein match is: GRAS family transcription factor (TAIR:AT3G46600.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,---,---
AT5G59570,BOA,TF,AT5G59570.1,Homeodomain-like superfamily protein,---,"Homeodomain-like superfamily protein; CONTAINS InterPro DOMAIN/s: Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Myb-like DNA-binding domain, SHAQKYF class (InterPro:IPR006447), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: Homeodomain-like superfamily protein (TAIR:AT3G46640.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",BOA,BROTHER OF LUX ARRHYTHMO
AT5G59780,MYB59,TF,AT5G59780.3,myb domain protein 59,Encodes a putative transcription factor (MYB59).,"myb domain protein 59 (MYB59); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to cadmium ion, regulation of transcription, DNA-dependent, response to chitin, response to salicylic acid stimulus; LOCATED IN: nucleus; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Myb, DNA-binding (InterPro:IPR014778), Homeodomain-like (InterPro:IPR009057), Myb transcription factor (InterPro:IPR015495), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: myb domain protein 48 (TAIR:AT3G46130.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",MYB59,myb domain protein 59
AT5G59820,ZAT12,TF,AT5G59820.1,C2H2-type zinc finger family protein,"Encodes a zinc finger protein involved in high light and cold acclimation. Overexpression of this putative transcription factor increases the expression level of 9 cold-responsive genes and represses the expression level of 15 cold-responsive genes, including CBF genes. Also, lines overexpressing this gene exhibits a small but reproducible increase in freeze tolerance. Because of the repression of the CBF genes by the overexpression of this gene, the authors speculate that this gene may be involved in negative regulatory circuit of the CBF pathway.","RESPONSIVE TO HIGH LIGHT 41 (RHL41); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding, nucleic acid binding; INVOLVED IN: in 11 processes; LOCATED IN: intracellular; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087); BEST Arabidopsis thaliana protein match is: C2H2-type zinc finger family protein (TAIR:AT3G46080.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",ZAT12,---
AT5G59990,AT5G59990,TF,AT5G59990.2,CCT motif family protein,---,"CCT motif family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: shoot apex, stem, leaf whorl, flower; EXPRESSED DURING: petal differentiation and expansion stage; BEST Arabidopsis thaliana protein match is: CCT motif family protein (TAIR:AT5G41380.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",---,---
AT5G60100,PRR3,TF,AT5G60100.3,pseudo-response regulator 3,"Encodes pseudo-response regulator 3 (APRR3/PRR3). PRR3 transcript levels vary in a circadian pattern with peak expression at dusk under long and short day conditions. PRR3 affects the period of the circadian clock and seedlings with reduced levels of PRR3 have shorter periods, based on transcriptional assays of clock-regulated genes. PRR3 is expressed in the vasculature of cotyledons and leaves where it may help stabilize the TOC1 protein by preventing interactions between TOC1 and the F-box protein ZTL.","pseudo-response regulator 3 (PRR3); CONTAINS InterPro DOMAIN/s: CheY-like (InterPro:IPR011006), Signal transduction response regulator, receiver domain (InterPro:IPR001789), CCT domain (InterPro:IPR010402); BEST Arabidopsis thaliana protein match is: pseudo-response regulator 7 (TAIR:AT5G02810.1).",PRR3,pseudo-response regulator 3
AT5G60120,TOE2,TF,AT5G60120.2,target of early activation tagged (EAT) 2,---,"target of early activation tagged (EAT) 2 (TOE2); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: related to AP2.7 (TAIR:AT2G28550.2).",TOE2,target of early activation tagged (EAT) 2
AT5G60130,AT5G60130,TF,AT5G60130.2,AP2/B3-like transcriptional factor family protein,---,"AP2/B3-like transcriptional factor family protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Transcriptional factor B3 (InterPro:IPR003340); BEST Arabidopsis thaliana protein match is: AP2/B3-like transcriptional factor family protein (TAIR:AT5G60140.1).",---,---
AT5G60142,AT5G60142,TF,AT5G60142.1,AP2/B3-like transcriptional factor family protein,---,"AP2/B3-like transcriptional factor family protein; FUNCTIONS IN: DNA binding; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Transcriptional factor B3 (InterPro:IPR003340); BEST Arabidopsis thaliana protein match is: AP2/B3-like transcriptional factor family protein (TAIR:AT5G60130.2); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",---,---
AT5G60200,TMO6,TF,AT5G60200.1,TARGET OF MONOPTEROS 6,Encodes a Dof-type transcription factor.,"TARGET OF MONOPTEROS 6 (TMO6); CONTAINS InterPro DOMAIN/s: Zinc finger, Dof-type (InterPro:IPR003851); BEST Arabidopsis thaliana protein match is: Dof-type zinc finger DNA-binding family protein (TAIR:AT3G45610.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",TMO6,TARGET OF MONOPTEROS 6
AT5G60410,SIZ1,TF,AT5G60410.5,"DNA-binding protein with MIZ/SP-RING zinc finger, PHD-finger and SAP domain","Encodes  a plant small ubiquitin-like modifier (SUMO) E3 ligase that is a focal controller of Pi starvation-dependent responses. Also required for SA and PAD4-mediated R gene signalling, which in turn confers innate immunity in Arabidopsis.  Also involved in the regulation of plant growth, drought responses and freezing tolerance. This latter effect is most likely due to SIZ1 dependent ABI5 sumoylation. Regulates leaf cell division and expansion through salicylic acid accumulation.  signaling","SIZ1; CONTAINS InterPro DOMAIN/s: DNA-binding SAP (InterPro:IPR003034), Zinc finger, MIZ-type (InterPro:IPR004181), Zinc finger, PHD-type, conserved site (InterPro:IPR019786), Zinc finger, PHD-type (InterPro:IPR001965), Zinc finger, FYVE/PHD-type (InterPro:IPR011011), Zinc finger, PHD-finger (InterPro:IPR019787); BEST Arabidopsis thaliana protein match is: RING/U-box superfamily protein (TAIR:AT5G41580.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",SIZ1,---
AT5G60440,AGL62,TF,AT5G60440.1,AGAMOUS-like 62,AGL62 encodes a Type I MADS domain protein that likely functions as a transcription factor. It is expressed AGL62 is expressed exclusively in the endosperm. AGL62 supresses suppresses cellularization during the syncytial phase of endosperm development.,"AGAMOUS-like 62 (AGL62); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: cellularization of endosperm, endosperm development; LOCATED IN: nucleus; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Transcription factor, MADS-box (InterPro:IPR002100); BEST Arabidopsis thaliana protein match is: MADS-box transcription factor family protein (TAIR:AT4G36590.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",AGL62,AGAMOUS-like 62
AT5G60450,ARF4,TF,AT5G60450.1,auxin response factor 4,Encodes a member of the ARF family of transcription factors which mediate auxin responses. ARF4 appears to have redundant function with ETT(ARF3) in specifying abaxial cell identity.,"auxin response factor 4 (ARF4); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: vegetative phase change, regulation of transcription, DNA-dependent, abaxial cell fate specification; LOCATED IN: nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), Transcriptional factor B3 (InterPro:IPR003340), AUX/IAA protein (InterPro:IPR003311), Auxin response factor (InterPro:IPR010525); BEST Arabidopsis thaliana protein match is: Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related (TAIR:AT2G33860.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",ARF4,auxin response factor 4
AT5G60470,AT5G60470,TF,AT5G60470.1,C2H2 and C2HC zinc fingers superfamily protein,---,"C2H2 and C2HC zinc fingers superfamily protein; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding, nucleic acid binding; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular; EXPRESSED IN: stem, sepal, carpel, stamen; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087), Zinc finger, double-stranded RNA binding (InterPro:IPR022755); BEST Arabidopsis thaliana protein match is: C2H2-like zinc finger protein (TAIR:AT3G45260.1); Has 38003 Blast hits to 17147 proteins in 232 species: Archae - 0; Bacteria - 0; Metazoa - 35900; Fungi - 231; Plants - 711; Viruses - 1; Other Eukaryotes - 1160 (source: NCBI BLink).",---,---
AT5G60690,REV,TF,AT5G60690.1,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein,REVOLUTA regulates meristem initiation at lateral positions. a member of a small homeodomain-leucine zipper family. Has overlapping functions with PHAVOLUTA and PHABULOSA.,"REVOLUTA (REV); CONTAINS InterPro DOMAIN/s: Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057), Lipid-binding START (InterPro:IPR002913), MEKHLA (InterPro:IPR013978), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein (TAIR:AT2G34710.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",REV,REVOLUTA
AT5G60850,OBP4,TF,AT5G60850.1,OBF binding protein 4,Encodes a zinc finger protein.,"OBF binding protein 4 (OBP4); CONTAINS InterPro DOMAIN/s: Zinc finger, Dof-type (InterPro:IPR003851); BEST Arabidopsis thaliana protein match is: DOF zinc finger protein 1 (TAIR:AT1G51700.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",OBP4,OBF binding protein 4
